,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
18612,"New York city ............     6,288,814","3,706,830      58.9     3,412,247      54.3      294,583      7.9"
18613,"North Carolina ..............     6,303,721","4,182,598      66.4     3,913,712      62.1      268,886      6.4"
18614,"North Dakota ................       484,841","340,697      70.3       327,915      67.6       12,782      3.8"
18615,"Ohio ........................     8,719,586","5,850,869      67.1     5,520,759      63.3      330,110      5.6"
18616,"Oklahoma ....................     2,615,302","1,684,008      64.4     1,605,679      61.4       78,329      4.7"
18617,"Oregon ......................     2,729,478","1,839,017      67.4     1,705,455      62.5      133,562      7.3"
18618,"Pennsylvania ................     9,570,058","6,220,457      65.0     5,874,348      61.4      346,109      5.6"
18619,"Rhode Island ................       829,724","552,472      66.6       524,500      63.2       27,972      5.1"
18620,"South Carolina ..............     3,106,205","1,956,061      63.0     1,844,379      59.4      111,682      5.7"
18621,"South Dakota ................       572,236","418,839      73.2       406,059      71.0       12,780      3.1"
18622,"Tennessee ...................     4,454,783","2,912,809      65.4     2,773,569      62.3      139,240      4.8"
18623,"Texas .......................    15,840,524","10,805,966      68.2    10,113,207      63.8      692,759      6.4"
18624,"Utah ........................     1,662,991","1,187,938      71.4     1,117,450      67.2       70,488      5.9"
18625,"Vermont .....................       484,500","344,085      71.0       329,990      68.1       14,095      4.1"
18626,"Virginia ....................     5,469,003","3,745,885      68.5     3,590,376      65.6      155,509      4.2"
18627,"Washington ..................     4,615,349","3,098,560      67.1     2,873,179      62.3      225,381      7.3"
18628,"West Virginia ...............     1,429,235","798,119      55.8       750,526      52.5       47,593      6.0"
18629,"Wisconsin ...................     4,179,843","3,030,831      72.5     2,870,188      68.7      160,643      5.3"
18630,"Wyoming .....................       380,242","269,786      71.0       258,965      68.1       10,821      4.0"
18631,,
18632,,
18633,,October 2002
18634,,
18635,,
18636,"Alabama .....................     3,409,782","2,111,166      61.9     1,988,843      58.3      122,323      5.8"
18637,"Alaska ......................       454,550","328,400      72.2       303,731      66.8       24,669      7.5"
18638,"Arizona .....................     4,097,842","2,701,144      65.9     2,535,294      61.9      165,850      6.1"
18639,"Arkansas ....................     2,057,929","1,276,225      62.0     1,207,429      58.7       68,796      5.4"
18640,"California ..................    25,987,483","17,280,269      66.5    16,118,891      62.0    1,161,378      6.7"
18641,"Los Angeles County .......     7,241,196","4,746,309      65.5     4,435,079      61.2      311,230      6.6"
18642,"Colorado ....................     3,421,889","2,453,200      71.7     2,315,498      67.7      137,702      5.6"
18643,"Connecticut .................     2,638,916","1,785,566      67.7     1,696,458      64.3       89,108      5.0"
18644,"Delaware ....................       615,913","413,954      67.2       397,704      64.6       16,250      3.9"
18645,"District of Columbia ........       461,700","303,946      65.8       284,794      61.7       19,152      6.3"
18646,"Florida .....................    13,072,974","8,154,198      62.4     7,710,618      59.0      443,580      5.4"
18647,"Georgia .....................     6,387,104","4,356,954      68.2     4,140,926      64.8      216,028      5.0"
18648,"Hawaii ......................       916,970","599,081      65.3       576,387      62.9       22,694      3.8"
18649,"Idaho .......................       993,976","686,550      69.1       649,188      65.3       37,362      5.4"
18650,"Illinois ....................     9,483,893","6,310,176      66.5     5,897,923      62.2      412,253      6.5"
18651,"Indiana .....................     4,667,145","3,180,483      68.1     3,022,157      64.8      158,326      5.0"
18652,"Iowa ........................     2,249,163","1,636,245      72.7     1,570,261      69.8       65,984      4.0"
18653,"Kansas ......................     2,032,959","1,421,835      69.9     1,349,535      66.4       72,300      5.1"
18654,"Kentucky ....................     3,137,960","1,944,067      62.0     1,832,774      58.4      111,293      5.7"
18655,"Louisiana ...................     3,315,312","2,009,624      60.6     1,885,700      56.9      123,924      6.2"
18656,"Maine .......................     1,019,471","677,668      66.5       647,356      63.5       30,312      4.5"
18657,"Maryland ....................     4,123,542","2,870,541      69.6     2,747,136      66.6      123,405      4.3"
18658,"Massachusetts ...............     5,015,587","3,441,030      68.6     3,250,955      64.8      190,075      5.5"
18659,"Michigan ....................     7,637,675","5,001,102      65.5     4,694,414      61.5      306,688      6.1"
18660,"Minnesota ...................     3,835,796","2,859,769      74.6     2,734,542      71.3      125,227      4.4"
18661,"Mississippi .................     2,114,928","1,287,446      60.9     1,203,654      56.9       83,792      6.5"
18662,"Missouri ....................     4,322,412","3,005,779      69.5     2,847,205      65.9      158,574      5.3"
18663,"Montana .....................       702,522","468,525      66.7       448,189      63.8       20,336      4.3"
18664,"Nebraska ....................     1,301,784","956,071      73.4       921,205      70.8       34,866      3.6"
18665,"Nevada ......................     1,651,061","1,133,550      68.7     1,073,122      65.0       60,428      5.3"
18666,"New Hampshire ...............       984,675","704,229      71.5       672,372      68.3       31,857      4.5"
18667,"New Jersey ..................     6,550,397","4,347,893      66.4     4,094,103      62.5      253,790      5.8"
18668,"New Mexico ..................     1,378,955","879,379      63.8       830,417      60.2       48,962      5.6"
18669,"New York ....................    14,766,777","9,303,119      63.0     8,738,599      59.2      564,520      6.1"
18670,"New York city ............     6,292,051","3,710,678      59.0     3,410,560      54.2      300,118      8.1"
18671,"North Carolina ..............     6,311,050","4,176,890      66.2     3,907,732      61.9      269,158      6.4"
18672,"North Dakota ................       484,971","340,695      70.3       327,867      67.6       12,828      3.8"
18673,"Ohio ........................     8,724,813","5,852,320      67.1     5,519,288      63.3      333,032      5.7"
18674,"Oklahoma ....................     2,617,031","1,683,841      64.3     1,603,229      61.3       80,612      4.8"
18675,"Oregon ......................     2,732,802","1,839,921      67.3     1,704,859      62.4      135,062      7.3"
18676,"Pennsylvania ................     9,576,039","6,214,053      64.9     5,863,923      61.2      350,130      5.6"
18677,"Rhode Island ................       830,446","554,017      66.7       525,583      63.3       28,434      5.1"
18678,"South Carolina ..............     3,109,622","1,960,701      63.1     1,845,880      59.4      114,821      5.9"
18679,"South Dakota ................       572,718","419,389      73.2       406,332      70.9       13,057      3.1"
18680,"Tennessee ...................     4,459,606","2,912,442      65.3     2,772,378      62.2      140,064      4.8"
18681,"Texas .......................    15,865,366","10,817,664      68.2    10,118,977      63.8      698,687      6.5"
18682,"Utah ........................     1,665,919","1,189,258      71.4     1,118,631      67.1       70,627      5.9"
18683,"Vermont .....................       484,964","344,284      71.0       329,955      68.0       14,329      4.2"
18684,"Virginia ....................     5,474,685","3,746,262      68.4     3,590,164      65.6      156,098      4.2"
18685,"Washington ..................     4,620,749","3,100,168      67.1     2,874,439      62.2      225,729      7.3"
18686,"West Virginia ...............     1,429,809","796,951      55.7       749,240      52.4       47,711      6.0"
18687,"Wisconsin ...................     4,183,908","3,035,451      72.6     2,872,906      68.7      162,545      5.4"
18688,"Wyoming .....................       380,549","270,353      71.0       259,278      68.1       11,075      4.1"
18689,,
18690,,
18691,,November 2002
